tag,quote
ECO,"But I like that film biography idea. A slick Hollywood picture to gloss over my evil rise to power, like ""Bugsy,"" or ""Working Girl."" Get me Steven Spielberg!"
LEI,"Listen, Smithers, you caught me at a bad time but my folk guitar class has been canceled for tonight. Would you like to get together for a drink?"
ECO,"Smithers, years ago, I blew the chance to buy Picasso's ""Guernica"" for a song. Luckily, that song was ""White Christmas,"" and by hanging onto it, I made billions."
WRK,"Hi, ho, faceless employees. In a few moments the government inspection team will be touring your plant so look busy and keep your mouths shut. That is all."
LEI,"Actually, son, it's a big, ugly Olmec Indian head. It was carved by Meso-American Indians over 3,000 years ago. This gruesome customer is Xt'tapalatakettle, the god of war."
PER,"All right, good. Let's dig... That's right, dig some more... Oh, we make quite a duo: Burns and associate. No, no, what am I thinking? Burns and... teammate."
ECO,"When uranium came from a stream...and atoms were split by hand...then transformed into the kind of electricity that illuminated not just our homes, but our souls as well?"
FAM,"Hmm, yes. I believe that's little Maggie Simpson -- the baby who found my precious teddy-bear Bobo. Oh and there's that, ah Simpson mutt, my former guard dog."
CON,"I will not suffer your insubordination! There has been a shocking decline in the quality and quantity of your toadying, Waylon, and you will fall into line. Now."
PER,I see it all now! You're just a bunch of yesmen! I was making the wrong moves and you were too gutless to tell me. Isn't that right?
LEI,"Call me old-fashioned, but movies were sexier when the actors kept their clothes on. Vilma Banky could do more for me with one raised eyebrow than an entire..."
CON,But now it's time to say goodbye. Please get off my property until next year. I suggest you don't dawdle. The hounds will be released in ten minutes.
WRK,"... here at the plant without increasing the cost to the consumer, or affecting management pay raises. However, for you semi-skilled workers, there will be no Christmas bonuses."
LEI,"We sneaked into the nearby Peabody Museum. There under the smiling eyes of four stuffed Eskimos, we expressed our love physically, as was the style at the time."
PER,"Ah, Larry, my lad, I've gone over this story in my mind a million times. It was 1941 -- the -- no, '39 -- my 25th Yale reunion..."
WRK,"Now, now. That will do. Homer, for your bravery and skill, we award you this ham, this plaque, this discount coupon book, and my own personal thumbs up!"
PER,"Everything's fine, Smithers. But this Simpson fellow seems to be getting dumber by the minute. I've never seen anything quite like it... Anyhoo, you just enjoy your vacation."
PER,"Back when I wrestled at Yale, I was in the lightest weight category -- ""ether weight."" Now, get ready to face the wrath of the ""New Haven Nuisance""!"
CON,"So ironic. After all my years of stock jobbing, gun running, attempted murder, successful murder, and tom peepery, they get me on a petty multi-million dollar art theft."
ECO,"It's no use. I guess I'll have to leave all my money to the Egg Advisory Council. Eggs have gotten quite a bad rap lately, you know, Smithers."
CON,I flew it at an altitude of six feet for a distance of four-and-a-half feet. Then we discovered rain makes it catch fire. Then the FÃ¼hrer fired me.
PER,"Now that you've all agreed to reap the windfall of my death, I must return to my large empty mansion to rattle around and await the inevitable... alone."
CON,"This is my pride and joy. I've had hidden cameras planted in every home in Springfield. I got the idea from that movie ""Sliver."" What a delightful romp!"
CON,"You don't know when they'll strike -- a boating accident, a mishap during a ""ski trip."" But rest assured one way or another they will do you in."
COM,"Let me get this straight. You're pleased with your current appearance? Ah, why my good man, you're the fattest thing I've ever seen. And I've been on safari."
PER,"Well, because before my wretched life comes to a close, I want to know that I had one friend. Also, because while you slept, I violated you repeatedly."
COM,"Oh, I've known about the gem for years. You see, my dear girl, I joined the Freemasons before it was trendy. That's my eyeball on the dollar bill."
CON,"Smithers, the hounds feel terrible for what they did. And good news, one pooped out your ear! We'll dip it in iodine and it's just like new."
FAM,"You... have a husband? Yes, I can picture him now... rugged good looks... sweater knotted about his shoulders... curly locks shining in the sun like spun gold..."
COM,"Ohh, you can silence me, but you can't silence Collier's magazine! Tell the people! Don't let the government push you around! You have a choice! Fight back!"
PER,Thank goodness. Another day in this suburban nightmare and I would've needed half a white valium. Thank you for your gracious hospitality. See you at the unveiling.
CON,"Now, that's odd. I've just robbed a man of his livelihood, and yet I feel strangely empty. Tell you what, Smithers. Have him beaten to a pulp."
WRK,"Finally, I would like to add to any nuclear inspectors in the crowd, that the titular head of the power plant is now Mr. Homer J. Simpson."
CON,"So, the caterpillar has emerged from its cocoon as a shark with a gun for a mouth. I only have one thing to say to that... bravo."
CON,"Men, there's a little crippled boy sitting in the hospital who wants you to win this game. I know because I crippled him myself to inspire you."
CON,Perhaps you're wondering why you have two heads? Well my body was crushed so I had my head grafted on to or shall we say ample frame.
FAM,"This was my fiancÃ©e, Gertrude. I was working so hard I missed our wedding, our honeymoon and our divorce proceedings. She died of loneliness. Loneliness and rabies."
ECO,"Oh, all I wanted was to make obscene profits in the last year of my life and leave it to no one. Why does God hate dreamers?"
ECO,"I'm going to write a figure on this piece of paper. It's not quite as large as the last one, but I think you'll find it fair."
COM,"Here's the ""scoop."" You're our future so we can't afford to have you lose. And I love the Spanish, from the Inquisition to the delightful Franco years."
CON,"Capital idea! Let's blow this fascist popsicle stand. We'll purchase a small island somewhere and start our own country, free from the relentless tyranny of Uncle Sam."
CON,"Oh, no jury on earth will convict a bunch of moist-eyed mothers. I'll tell you what, ladies, give me my eggs back and I'll let you go."
PER,"Smithers, I'm a proud fellow, and it's not easy for me to admit defeat. But I know just the thing to make me feel better -- shopping!"
CON,"Smithers had thwarted my attempt to take candy from a baby, but with him out of the picture, I was free to wallow in my own crapulance."
LEI,"Yes, well, Smithers, I want you to arrange a party for two at my estate. Marge, me, and do you think you could dig up Al Jolson?"
COM,"Well, I say let Harvard have its football and academics. Yale will always be first in gentlemanly club-life. Why, every friend I have I made right here."
WRK,Installing an M.H.D. Generator would allow the plant to operate at a higher temperature without the tyranny of moving parts. Using conducting plasma as the moving conductor...
ECO,"Wait, wait, wait, it's only a matter of four million. I'm sure I can find that somewhere. I, uh, I have fifty dollars here in my wallet..."
COM,"Great heavens! It's one of those nude female fire stations. Ohh, I'd always be second place to some kitten stuck in a tree. Let's go, Smithers. Smithers?"
COM,"Well, if a couple of Chinese bamboo gobblers can win people's hearts, I'm gonna bring them something that man has searched for since the dawn of time."
PER,"I am only eighty-one. You may find this hard to believe... but in my salad days, my crowning glory was a bright shock of strawberry blond curls."
PER,I LIVE ME IN A MANSION / FULL OF THOSE GRECIAN URNS / BUT I'M LONELY ALL THE LIVE-LONG DAY / THAT'S THE BLUES OF MONTY BURNS
COM,"""Thank you all so much. I love Springfield, from the cuddliest infant to th... ... puppies... patriotism... bluebirds..."" I'm not reading this drivel. This speech is over."
ECO,"Oh-ho, that's me all right, standing up against America's reckless, spendthrift politicians. It commemorates my liberation of a trillion dollars that would have been foolishly squandered."
PER,"It doesn't take a whiz to see that you're looking out for number one. Well, listen to me and you'll make a big splash very soon."
PER,How dare you! I wrote a song for you! When am I ever going to use that again? Curse you and this morbidly obese little half-wit.
COM,"Just a second, Smithers. Let me introduce you to the gang. That's Buzz. That's Honey. And you see that queen over there? Her name is ""Smithers."""
PER,"Well, I will be when the morphine wears off, but until then, Teedily deedily dee dee. Teedily dee dee dee. Woo hoo hoo. Hee hee hee."
CON,"Ah, snowmen have peepers. Peepers to watch. To watch for our moment of weakness and then baff! comes the knock on the head and we're down."
CON,"Ah. Excellent. This is exactly the kind of trickery I'm paying you for. But, but how do we turn your average Joe Sixpack against Mary Bailey?"
CON,"Excellent. Well, ""ta"". Hmmm, Smithers, I can still sell 'em snake oil. Now bring me a wine spritzer -- and don't be stingy with the vino."
WRK,"Let's keep the laughs coming, eh, Simpson? What say I make you my Executive In Charge Of Recreation -- No, no, better yet, my Prank Monkey."
ECO,"Yes, I need you to pick up my car at the factory in Italy, and ship it directly back to me. I'll save thousands in taxes!"
COM,"Now, don't worry. I think you'll find that these two gentlemen are as American as apple pie! Hans and Fritz, well that's just John and Frank!"
ECO,"Then it's agreed. Of course, we can't sell the paintings now. We'd be caught. How many of you are familiar with the concept of a ""tontine?"""
ECO,"Well, first I'll get that new hip I've been hankering for. Then, who knows? Bee keeping, boxing, bache ball?... The world is my oyster, Smithers. Farewell!"
WRK,"Oh, yes, of course. Your spirited hornpipe stole the show, as I recall. Now Doctor, what shall we do about our free wheeling fop over here?"
ECO,"I've tried to meet you halfway on this, Simpson, but you had to be Little Johnny Live-a-lot. Now give me your key to the Hellfish Bonanza."
WRK,"Okay, let's make this sporting, Leonard. If you can tell me why I shouldn't fire you, without using the letter ""E,"" you can keep your job."
CON,"That prison was like a prison to me. Not a prison of bricks and iron, but one of steel and cement. They took everything from me."
FAM,That intrepid lad is my great grandfather! Franklin Jefferson Burns. Tossing that tea without a care for what the caffeine would do to the Fenway Flounder.
PER,"7-G?! Let the Lennys and the Carls of the world waste their wretched lives in that testicle-shriveling torture chamber. Son, you'll be working in... Sector 6-F!"
PER,"Smithers, you are the campiest of my aides du camp, but I'm afraid my true admiration is reserved for the self-made man. No Steve Woz-ni-ak thee."
ECO,"Homer, I agree with you and, if I'm elected governor , I will lower taxes whether those bureaucrats in the State capital like it or not."
CON,"Of course. We wouldn't think of going without the bait... uh, that is, the bait-thing beauty -- The bathing beauty. I covered that up pretty well."
PER,Nothing other than drive me to distraction with his incompetent boobery. Terrible at everything. A complete moron. But I'm not really free to talk right now.
PER,"Also, I'm sorry I couldn't find the records of the shots the hounds had, which in turn led to all those painful injections in your abdomen."
CON,"This entire plant is in his name -- so when they come to put C. M. Burns in jail, it's the canary that does the time."
FAM,"""Memorandum to: Mrs. Bouvier. Re: Delineation of Romantic Intentions..."" Pfffft, too sappy. Smithers, come over here and help me write a mash note to my girlfriend!"
CON,"You, Smithers? Oh no, my dear friend, I've planned a far greater reward for you. When I pass on, you shall be buried alive with me."
LEI,"The Springfield Opera House, of which I am founder, artistic director, and standing ovation starter, is producing La BohÃ¨me. I want you to sing the lead."
CON,"Now, I insist you take off your shoes when you get inside. And uh, while you're in there, grab as much cancer as you can."
CON,Leave them for whom? The Germans? The folks who shoot at us all day? Let's just take them. We'll all be rich! Rich as Nazis!
ECO,"Until Mr. Roosevelt's New Deal starts working, this country's still in a depression. I'm spending a fortune on atoms, and we have to cut costs!"
LEI,"OH, MY TAPESTRY'S MEDIEVAL, / MY HEART, IT'S EVIL TOO / BUT THAT DON'T MEAN I DON'T NEED LOVE / FROM LESSER TYPES LIKE YOU!"
COM,"And so in the spirit of fence-mending and grudge-not-bearing, I hereby rename the Burns Germ Warfare Lab The Grandma Simpson Peace Museum and Kid-teractive Learnatorium."
CON,"""Crack, smack, uppers, downers, outters, inners, horse tranquilizers, cow paralyzers, blue bombers, green goofers, yellow submarines, LSD mach three, and trace amounts of human urine!"""
CON,"When the errant bill struck my chest, it left a distinctive bruise. Had my heart been inside at the time, it could have been fatal."
CON,"Which you've committed at every national park, from Acadia to Zion. You're going away for a long time, Mrs. Simpson. Or should I call you..."
LEI,"All of you! Get back out there with your flippers flapping, and your stumps a-stomping! Joe and Jane normal expect some entertainment for their nickel!"
CON,"As you can see, Simpson, I've taken over all seventy-eight channels. And you won't see any of your favorite shows again until you give in."
PER,"You've got it all wrong, my friend. Once you see it my way, you'll understand that being hated is the greatest feeling in the world."
WRK,"Simpson, I worked here for three-score and twain. That's sixty-two years in the ""New English"". Now, come with me, I want to show you something."
WRK,"You, look what you've done! My starting pitcher thinks he's a chicken! Make no mistake, I'm going to report this to the American Hypnotical Association."
PER,Now see here! You are so not the heartless automatons I was looking for! There's one thing man has that machines can never match: hounds!
CON,"Smithers, this is a golden opportunity. If we get him alive we can put him on Broadway. Dead, we'll sell monkey stew to the Army!"
CON,I stand here to expose the criminal ineptitude of Homer J. Simpson. Again and again he has brought this town to the brink of annihilation.
ECO,"It's a hobby. I'm not in this for any personal gain, heavens no. By the way, are you acquainted with our state's stringent usury laws?"
PER,It is. I know it's hard to see a young buck like me and think of a day when I'm no longer in the pink.
REL,"Of course. St. Teresa wouldn't be interested in a mere bauble. Her greatest treasure would be a pure young girl. You are pure, aren't you?"
PER,"Absolutely not! No quack sawbones is going to apply his leeches to me! As long as there's an ounce of strength left in me, I..."
ECO,"Now then, I'm looking for a suitable young, male heir to leave my fortune to when I pass away. My vast, vast, vast fortune. Vast."
PER,"What? What are you talking about? Clearly make sense, man. I can't understand a word you're saying. You're just babbling incoherently like some sort of..."
PER,"Okay, Maggie, you win. But I want you to do something for me. Hang on to that bear. Don't make the same mistake I made."
ECO,"I want that oil well! I've got a monopoly to maintain! I own the Electric Company and the Waterworks, plus the hotel on Baltic Avenue."
PER,"Excellent. Once again the wheel has turned and Dame Fortune has hugged Montgomery Burns to her sweet perfumed bosom. Somebody up there likes me, Smithers."
COM,"-- by the time this paid political announcement is done, every Johnny Lunchpail in this whole stupid state will be eating out of my hand."
ECO,Bah! A non-profit organization with oil? I won't allow it! An oil well doesn't belong in the hands of Betsy Bleedingheart and Maynard G. Muskie-vote!
CON,"Why that's a fabulous idea. Anything else you'd like? How about real lead in the radiation shields? Urinal cakes maybe? Smithers, throw this at him."
CON,How dare you destroy my valuable wall and spill my priceless acid?! Did you really think you were going to get away with it?
WRK,We want you to give them a pep talk that turns them from a bunch of donut-eating goof-offs into a pack of Homer Simpsons.
FAM,"Well then, I should disrobe at once. Housekeeping! Send up a Chinese dressing screen! And one of Firestone's finest vulcanized prophylactics! Be right back."
CON,My germs! My precious germs! They never harmed a soul! They never even had a chance! Whoever did this will never get past me!
LEI,"So, what shall we do tomorrow? Go grousing? Or if you'd rather stay home, you could sing while I accompany you on the clavichord."
LEI,"Aw, if you stay you can have anything you want to eat, even some sort of gelatin dish. It's made from hooves, you know."
WRK,"With the departure of Mr. Marley, there will now be an entry-level position open in Sector 7G. Now get out. The bar is closed."
PER,"I see what you're saying. We're crowding your plate. In fact, there's no need for us to be here at all. Let's go, Smithers."
ECO,"The electric chair is on, eh? Then the old prison has been getting free electricity for thirty years. I'll put a stop to that."
COM,"Welcome, fellow Republicans. To start with the old business, Brother Hibbert will read a report on our efforts to rename everything after Ronald Reagan."
LEI,"So, let's see how my burly-bottomed ball-handlers are faring. Smithers, we're leading two to nothing! Run out the clock, boys. Run out the clock..."
CON,"Prepare for the adventure of a lifetime as you fight for survival against the merciless forces of nature! Toe your marks, get set, go!"
CON,"Of course not. He's just a harmless maniac, here to remind us of the precious gift of sanity. B... Oh, God! What's he doing?"
