spoken_words,round1_raw_open_code,round2_refined_code,round3_axial_cluster,round4_final_topic
"""All I lost was money?"" Let me make one thing perfectly clear -- our dalliance meant nothing to me! You were but a sprig of parsley garnishing my beefsteak, and now I cast you aside for the busboys to gnaw upon! Consider this ill-conceived affair terminated!",money / wealth,economics,economic/material,ECO
"Super. Now, let's give a big Junior Achievers welcome to our guest speaker -- I know he can teach us a lot about business -- Mr. C. Montgomery Burns!",religion / morality,religion,religion/morals,REL
"Shut up, Smithers. Can't you see what he's saying? A happy worker is a busy worker. Three cents worth of tartar sauce could save us thousands of man-hours in labor. I like the cut of your jib, Simpson. Let the fools have their tar-tar sauce!",family reference,family,family/relationships,FAM
"And so in the spirit of fence-mending and grudge-not-bearing, I hereby rename the Burns Germ Warfare Lab The Grandma Simpson Peace Museum and Kid-teractive Learnatorium.",violence / threat,conflict,conflict/risk,CON
"Of course. St. Teresa wouldn't be interested in a mere bauble. Her greatest treasure would be a pure young girl. You are pure, aren't you?",miscellaneous,other,other,COM
No one was ever a monkey! Everything is what it was and always will be! God put us here and that's that!,religion / morality,religion,religion/morals,REL
"No, of course you didn't. The establishment I work for delivers pizzas to everyone, and then gives the customer the option of accepting or refusing delivery.",religion / morality,religion,religion/morals,REL
"Heh-heh-heh, watch out Beatles! Now I have one more important announcement to share with you. Would Lisa Simpson join me on stage?",family reference,family,family/relationships,FAM
"This entire plant is in his name -- so when they come to put C. M. Burns in jail, it's the canary that does the time.",miscellaneous,other,other,COM
"Back when I wrestled at Yale, I was in the lightest weight category -- ""ether weight."" Now, get ready to face the wrath of the ""New Haven Nuisance""!",miscellaneous,other,other,COM
"Attention, students. In order to cut down on the rash of embarrassing YouTube videos of our teachers, we will be scanning you and taking away your smartphones.",work / institution,work,work/authority,WRK
"The year was 1968. We were on re-con in a steaming Mekong delta. An overheated private removed his flak jacket, revealing a T-shirt with an iron-on sporting the Mad slogan, ""UP WITH MINI-SKIRTS."" Well, we all had a good laugh, even though I didn't quite understand it.",miscellaneous,other,other,COM
"It's the ripcord from a Band-Aid wrapper! Call me Ned Zeppelin, but is one of my boys abrased and contused?",miscellaneous,other,other,COM
"This house has quite a long and colorful history. It was built on an ancient Indian burial ground, and was the setting of satanic rituals, witch burnings, and five John Denver Christmas Specials.",miscellaneous,other,other,COM
"Wake up, Flanders! There is no Hell, and there is no God. If there were, would He let me do this?",religion / morality,religion,religion/morals,REL
"People let's have good assembly manners. People, people. Quiet down, now, please. Don't make me flick the lights on and off. Thank you. Ladies, gentlemen, parents and music lovers. Welcome to the first in a series of Saturday evening concerts.",community / society,community,community/society,COM
"Sorry, Bart. But I can't just get rid of a teacher if he's doing a good job. Or an adequate job. Or just shows up and doesn't touch anyone.",work / institution,work,work/authority,WRK
Excuse me. How can you put up an exhibit on the origin of man and not have one mention of the Bible?,religion / morality,religion,religion/morals,REL
SO LISTEN UP BECAUSE I'M GIVING / THE BEST ADVICE YOU'LL EVER KNOW / SO FEEL THE THRILL / I KNOW YOU WILL / IT'S A HIGH TO BE LOA...THED!,self-reflection / feelings,inner-life,self/identity,PER
"Years ago we received a government grant to improve the school. Unfortunately, I cashed it...and the money was in my pants when mother did the laundry.",money / wealth,economics,economic/material,ECO
"I'm not Ned, I'm a friendly dog. Oh, I'm not a good liar. I did come here to check on the... where's Rod?",self-reflection / feelings,inner-life,self/identity,PER
"A half ton of newspaper and all we get is seventy-five cents? Huh, that won't even cover the gas I used to go to the store to buy the twine to tie up the bundles.",miscellaneous,other,other,COM
"Uh, uh, huh, oh, hey, Rachel. W-Well what do you know? We both like plain vanilla with nothing on it.",miscellaneous,other,other,COM
"Yes, Go to Work with Your Parents Day! Tomorrow, you will learn by doing and apply your knowledge of fractions and gym to real-world situations!",miscellaneous,other,other,COM
"Then it's agreed. Of course, we can't sell the paintings now. We'd be caught. How many of you are familiar with the concept of a ""tontine?""",miscellaneous,other,other,COM
"Astonishing news out of Eau Claire, Wisconsin: the Olympic Committee has announced that Mixed Curling will be a Demonstration Event at the Winter Olympics!",religion / morality,religion,religion/morals,REL
"It wasn't kindness that was keeping me alive, it was bile building up inside! Loathing is my life blood and rage my royal jelly! So yes, thank you, Springfield, for giving me the secret to eternal life -- hate!",community / society,community,community/society,COM
"Let me get this straight. You're pleased with your current appearance? Ah, why my good man, you're the fattest thing I've ever seen. And I've been on safari.",miscellaneous,other,other,COM
"Now, before we adjourn, gentlemen, I have one last matter of utmost importance. I need to send this parcel with the profit projections to Pete Porter in Pasadena - And it absolutely, positively has to be there overnight!",money / wealth,economics,economic/material,ECO
"Sorry, Nelson. Poor boys such as yourself will go hungry. Now please welcome the star of ""Stuffwich's"" ads, who lost four hundred pounds eating only ""Stuffwich"" subs -- Ezra.",family reference,family,family/relationships,FAM
"All right, Bart, I didn't want to resort to this, but... this drawing was found on the wall of Springfield Elementary late last week.",community / society,community,community/society,COM
"Oh, gosh, Homer, this is strictly a Flanders affair. I've got family here from around the globe! Here's Jos̩ Flanders...",miscellaneous,other,other,COM
"You know Smithers, I've always despised the laziness of the common worker. Then I realized his spirit was willing, but the flesh was weak. So I replaced the flesh -- which is weak -- with steel, which is strong. Behold, the greatest breakthrough in labor relations since the cat o' nine tails.",religion / morality,religion,religion/morals,REL
"How 'bout I explain it to you over a cup of coffee. That is, if you're willing to give me another shot.",miscellaneous,other,other,COM
"Good morning, students. Way to go there, Wendell. There's Ralph -- he knows the score. Jimbo, how's that hat today? Janey, Janey, bo-faney!",miscellaneous,other,other,COM
"Before we begin, children, may I remind you the school computers are not to be used to access PrincipalSkinnerStinks.com, Skinnersucks.org or Shavedskinner.edu.",work / institution,work,work/authority,WRK
"It's the only place cruel enough to straighten Bart out. They use a proven concept, ""tough hate"", to turn around foul-mouthed hooligans. Then they send them home, quietly ticking away.",miscellaneous,other,other,COM
"Well, I'll just reimburse you right n-- Wait a minute. This seems an awful lot like that movie, ""Paper Moon.""",leisure / entertainment,leisure,leisure/culture,LEI
"Take fifty percent of my money and put it in the blue chips: Trans-Atlantic Zeppelin, Amalgamated Spats, Congreve's Inflammable Powders, U.S. Hay... and sink the rest into that up-and-coming Baltimore Opera Hat Company. That should set things right again, eh, boys?",money / wealth,economics,economic/material,ECO
"Cheating for me? Good lord, Smithers, that's patently unnecessary. I'm one of the world's finest golfers! In all the years you've caddied for me, I've never lost a-- Oh.",religion / morality,religion,religion/morals,REL
Perhaps you're wondering why you have two heads? Well my body was crushed so I had my head grafted on to or shall we say ample frame.,miscellaneous,other,other,COM
"Well sir, I'm opening a one-stop store for Southpaws. Everything from left-handed apple peelers to left-handed zithers. I'm gonna call it the Leftorium.",self-reflection / feelings,inner-life,self/identity,PER
"Welcome, fellow Republicans. To start with the old business, Brother Hibbert will read a report on our efforts to rename everything after Ronald Reagan.",religion / morality,religion,religion/morals,REL
Tchah! I'm not a baby who needs a nursemaid to burp me. You see? Now I insist you take a vacation just as soon as a temporary substitute can be found.,self-reflection / feelings,inner-life,self/identity,PER
"L-Listen, folks, there's no magic formula. I just follow the three C's: clean living, chewing thoroughly, and a daily dose of Vitamin Church.",miscellaneous,other,other,COM
"Oop, sorry, Bart, that's a Neddy no-no. You're not allowed to handle a pocketknife 'til you read this booklet on knife safety and pass a test.",miscellaneous,other,other,COM
"Just write down my findings as I give them to you. Six hours, nineteen minutes, right ascension, fourteen degrees, twenty-two minutes declination... No sighting.",miscellaneous,other,other,COM
"Right or wrong, your behavior was still disruptive, young man. Perhaps spending the remainder of your life in a madhouse will teach you some manners.",miscellaneous,other,other,COM
"Neighbor, Marge invited me over to be the little angel on your shoulder, so you wouldn't listen to the four hundred devils on the other.",community / society,community,community/society,COM
"I still don't understand, Clancy. Why give up your job as a small town police chief to set up a detective shop in New Orleans?",work / institution,work,work/authority,WRK
"Now, students, I want you to be on your best behavior for this carefully-choreographed media event. Now this means there is to be no wising-off, no face-making, and no grass-eating. This means you, Ralph.",religion / morality,religion,religion/morals,REL
"Why is it that women ""appear"" to be worse at math then men? What is the source of this ""illusion?"" Or, as I call it, ""the biggest lie ever told.""",miscellaneous,other,other,COM
"What a wonderful science fair. Unfortunately, due to budget cuts we could not afford our third place ribbon. Now, in Second Place, Lisa Simpson's grim description of our short-sighted dependence on fossil fuels.",family reference,family,family/relationships,FAM
"WHEN I WAS JUST A LITTLE GIRL / I ASKED MY MOTHER WHAT WILL I BE / WILL I BE PRETTY, WILL I BE RICH? / HERE'S WHAT SHE SAID TO ME...",money / wealth,economics,economic/material,ECO
"Martin was a shy, awkward child who will never fulfill his promise to become a weird, unloved adult. The Audio-Visual Club has prepared a video tribute to their fallen associate.",violence / threat,conflict,conflict/risk,CON
"Hello, Gas Company? How poisonous is your gas?... Wow. But-- Eh, but I'm talkin', you know, about outdoors with plenty of ventilation that... How could that be worse?... Okay, permanent brain damage, or just temporary?... I see.",family reference,family,family/relationships,FAM
"Patty and Selma?! Sure they smoke, and they don't shave much of anything, but... do they deserve to die?",miscellaneous,other,other,COM
"Oh golly, if that doesn't put the shaz in shazam. Oh listen, what's the cash value of those tickets so I can report it on my income tax?",miscellaneous,other,other,COM
"Lisa, I'm afraid you've gotten all the extra credit we can give out. So Willie has been growing you a nice pumpkin.",self-reflection / feelings,inner-life,self/identity,PER
"""Please excuse my handwriting. I busted whichever hand it is I write with. Signed, Mrs. Simpson."" You were right to be suspicious, Edna. To the crime lab.",family reference,family,family/relationships,FAM
"I had to get a job. And I had to start at the bottom. But to get to the bottom, I had to work my way up from Moe's.",work / institution,work,work/authority,WRK
"Edna, we can tolerate mild alcoholism, leaving melted cheese in the microwave, even selling A's for cigarettes. But in laying a hand on a student, you have crossed a line.",miscellaneous,other,other,COM
"Bart, I've barely been here a good solid week, and you've been sent to my office eleven times. And now that I have peanut butter cups, you seem to be gettin' in trouble every hour.",miscellaneous,other,other,COM
"That photo was taken shortly before I was shot in the back ... Which was very strange, because it was during a Bob Hope show. I was trying to get Joey Heatherton to put on some pants for God's sake.",religion / morality,religion,religion/morals,REL
"Now, I insist you take off your shoes when you get inside. And uh, while you're in there, grab as much cancer as you can.",miscellaneous,other,other,COM
"You, look what you've done! My starting pitcher thinks he's a chicken! Make no mistake, I'm going to report this to the American Hypnotical Association.",self-reflection / feelings,inner-life,self/identity,PER
"Everything's fine, Smithers. But this Simpson fellow seems to be getting dumber by the minute. I've never seen anything quite like it... Anyhoo, you just enjoy your vacation.",family reference,family,family/relationships,FAM
"Absolutely not! No quack sawbones is going to apply his leeches to me! As long as there's an ounce of strength left in me, I...",miscellaneous,other,other,COM
"The order flourished, never forgetting its sacred mission. But word about the gem got out...and a group of high-ranking Freemasons, led by Benjamin Franklin, George Washington, and King George the Third, staged a phony war of ""independence"" to cover their search for the gem.",violence / threat,conflict,conflict/risk,CON
"Excellent. I'm so keen on seeing Watson vs. Tatum II, I'd even go to an employee's house. Oh, I can picture it now. The screen door rusting off its filthy hinges. Mangy dog staggering about looking vainly for a place to die.",work / institution,work,work/authority,WRK
"Powerful work. And now he's going to make a documentary about Springfield Elementary, which I assume will be glowing and positive, unlike all of his other work.",community / society,community,community/society,COM
Installing an M.H.D. Generator would allow the plant to operate at a higher temperature without the tyranny of moving parts. Using conducting plasma as the moving conductor...,religion / morality,religion,religion/morals,REL
"Ah yeah, I never shoulda had that trendy laser surgery. It was great at first, but you know, at the ten-year mark, your eyes fall out.",miscellaneous,other,other,COM
Oh. I get your angle. Every Joe Meatball and Sally Housecoat in this God-forsaken state will see me hunkering down for chow with Eddie Punchclock. The media will have a field day!,religion / morality,religion,religion/morals,REL
"Here's a preview. GOD SAID TO NOAH / BUILD YOURSELF AN ARK-Y ARK-Y / ANIMALS CAME ON BY ONES AND TWOSIES, TWOSIES / ELEPHANTS AND KANGAROOSIES - ROOSIES...",religion / morality,religion,religion/morals,REL
"""Dear Bart, your friendship during this difficult time will not be forgotten. However, I've decided to return to the only thing besides school that has ever given my life meaning -- I've re-enlisted in the United States Army. Sincerely, Sgt. Seymour Skinner.""",work / institution,work,work/authority,WRK
"Uh, don't worry, sir, I'll teach these children some respect for their town. I'm assigning each of you twenty hours of community service.",community / society,community,community/society,COM
"I'm going to write a figure on this piece of paper. It's not quite as large as the last one, but I think you'll find it fair.",self-reflection / feelings,inner-life,self/identity,PER
...AND LILAC AND GOLD AND CHOCOLATE AND MAUVE / AND CREAM AND CRIMSON AND SILVER AND ROSE / AND AZURE AND LEMON AND RUSSET AND GREY...,family reference,family,family/relationships,FAM
"Of course. We wouldn't think of going without the bait... uh, that is, the bait-thing beauty -- The bathing beauty. I covered that up pretty well.",miscellaneous,other,other,COM
"We made sweet music in the band room, poetry during English class, and you don't wanna know what we did in the multi-purpose room.",leisure / entertainment,leisure,leisure/culture,LEI
"You wanna hit me. Well sir, here's a roll of quarters to put in your fist for extra punching power!",miscellaneous,other,other,COM
"The Bible says ""cast your bread upon the waters."" But all I got was a bunch of soggy bread.",religion / morality,religion,religion/morals,REL
"Homer, I'm as permissive as the next parent. I mean, just yesterday, I let Todd buy some Red Hots with a cartoon devil on the box. But you can't possibly think it's appropriate for your ten-year-old son to work in a burlesque house!",family reference,family,family/relationships,FAM
"""They're Controlling Our Minds With Flu Shots?!"" I knew it. Well kids, now aren't you glad we don't believe in inoculations?",miscellaneous,other,other,COM
"Well, a friendly Springfield hello there, neighbors. I, you know, we think some kids of ours may be missing in your town.",community / society,community,community/society,COM
"... so, from now on anything caught in your zipper will be handled by the school nurse, and not me. And now... are you adequately prepared to rock?",work / institution,work,work/authority,WRK
My germs! My precious germs! They never harmed a soul! They never even had a chance! Whoever did this will never get past me!,miscellaneous,other,other,COM
"OH, MY TAPESTRY'S MEDIEVAL, / MY HEART, IT'S EVIL TOO / BUT THAT DON'T MEAN I DON'T NEED LOVE / FROM LESSER TYPES LIKE YOU!",miscellaneous,other,other,COM
"Well, tippity-top o' the a.m. to every-good-body here! As chairman of the PTA, I Am dee-diddily-lighted to take over, and I think I can put the ""pal"" back in principal.",work / institution,work,work/authority,WRK
"We sneaked into the nearby Peabody Museum. There under the smiling eyes of four stuffed Eskimos, we expressed our love physically, as was the style at the time.",miscellaneous,other,other,COM
"-- by the time this paid political announcement is done, every Johnny Lunchpail in this whole stupid state will be eating out of my hand.",miscellaneous,other,other,COM
"Well, there's no house to put it in, Homer, not since that nice fellow from the bank, who was only doing his job, came and locked it up.",work / institution,work,work/authority,WRK
"Oh, there's mother now. Watching me. What's that, mother? They have a right to be here. It's school business. I... Mother, that sailor suit doesn't fit anymore!",work / institution,work,work/authority,WRK
"Attention. This is an emergency broadcast. All is well in the school. My authority as principal is total -- Hey, gimme that.",work / institution,work,work/authority,WRK
"Oh, yes, of course. Your spirited hornpipe stole the show, as I recall. Now Doctor, what shall we do about our free wheeling fop over here?",miscellaneous,other,other,COM
"Oh, oh, oh, I expect things to start picking up soon. I think word of mouth is startin' to spread.",miscellaneous,other,other,COM
"Sir, if we let these hill folk into our school, our test scores would drop so low, we'd lose all federal funding.",work / institution,work,work/authority,WRK
"But just in case you want to do any more thinking, I'm proud to present you with an official key to the study hall.",self-reflection / feelings,inner-life,self/identity,PER
"Y'know, Simpson, I feel kinda silly, but what the hay... you know, it kinda reminds me of my good ole' fraternity days.",family reference,family,family/relationships,FAM
"These are Bart's uncompleted homework assignments for the last month: worksheets, problem sets, book reports, math jumbles, dioramas, topic sentences, conclusions, bibliographies, synonyms, mean-the-sames, define-a-likes, word twins and one Thanksgiving hand-turkey.",miscellaneous,other,other,COM
"Well sir, just apply a smidgen of peanut butter to an ordinary pine cone and you got yourself a makeshift bird feeder, sir.",miscellaneous,other,other,COM
"That concludes our Halloween show for this year. I just want to say that for watching this network, you're all going to Hell. And that includes FX, Fox Sports and our newest Devil's portal, The Wall Street Journal! Welcome to the club!",religion / morality,religion,religion/morals,REL
"I don't understand. Pigs need food, engines need coolant, dynamiters need dynamite. I'm supplying it to them, at a tidy profit, and not a single sea creature was wasted. You inspired it all, Li'l Lisa.",money / wealth,economics,economic/material,ECO
"Oh, what the heck. I know it's impolite to make a move till episode twenty-five of a Ken Burns documentary, but you're that special.",miscellaneous,other,other,COM
"I will not suffer your insubordination! There has been a shocking decline in the quality and quantity of your toadying, Waylon, and you will fall into line. Now.",miscellaneous,other,other,COM
"Well, I'm not sure I want to do it. I mean ""who'll buy the cow when you get the milk for free?"" You know, the cow being me.",self-reflection / feelings,inner-life,self/identity,PER
MS. KRABAPPEL / A SAD PRINCIPAL / IS DESPERATE AND NEEDY / IF YOU COME HOME / I WON'T DIE ALONE / AND THAT'S WHAT I'D PREFER...,work / institution,work,work/authority,WRK
"Okay, here she comes! Why don't you take Marge for a walk, open your heart and see what pours out?",miscellaneous,other,other,COM
"Hi, ho, faceless employees. In a few moments the government inspection team will be touring your plant so look busy and keep your mouths shut. That is all.",work / institution,work,work/authority,WRK
"Think of the economy as a car and the rich man as the driver. If you don't give the driver all the money, he'll drive you over a cliff. It's just common sense. Furthermore, rich people feel things more deeply than the common man.",money / wealth,economics,economic/material,ECO
"Hmm. Yes, Colonel. Now, I understand it will be my duty to mold the new recruits into a well-disciplined, highly-trained infantry unit.",miscellaneous,other,other,COM
"Lord, this town may have turned its back on you, but not the Flanderses. Wherever we are, you'll have your church. Are you with me, boys?",community / society,community,community/society,COM
